symbol,timeframe,r1,r2,strategy_name,start_time,end_time,total_return,annual_return,max_drawdown,sharpe_ratio,win_rate,profit_factor,total_trades,winning_trades,losing_trades,avg_win,avg_loss,final_capital
BTCUSDT,1d,0,60,RSI_R1_0_R2_60,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
BTCUSDT,1d,0,61,RSI_R1_0_R2_61,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
BTCUSDT,1d,0,62,RSI_R1_0_R2_62,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
BTCUSDT,1d,0,63,RSI_R1_0_R2_63,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
BTCUSDT,1d,0,64,RSI_R1_0_R2_64,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
BTCUSDT,1d,0,65,RSI_R1_0_R2_65,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
BTCUSDT,1d,0,66,RSI_R1_0_R2_66,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
BTCUSDT,1d,0,67,RSI_R1_0_R2_67,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
BTCUSDT,1d,0,68,RSI_R1_0_R2_68,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
BTCUSDT,1d,0,69,RSI_R1_0_R2_69,2025-08-25T00:00:00,2026-05-22T23:59:59.999000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,10000.0
